date,weekday,steps,steps_source,temp_max_c,temp_min_c,temp_mean_c,feels_max_c,feels_min_c,precipitation_mm,rain_mm,snowfall_cm,wind_max_kmh,wind_gusts_kmh,sunshine_hours,weather_code,weather_label,total_plays,minutes_listened,unique_tracks,unique_artists,top_artist,top_artist_minutes,top_album,album_signature_artist,album_signature_hex,library_match_ratio,discovery_streams,late_night_streams,morning_streams,search_count,podcast_minutes,dominant_color_hex,screen_total_min,screen_productivity_min,screen_social_min,screen_entertainment_min,screen_other_min,screen_source
2025-08-26,Tuesday,514,Şeymanur’s iPhone,26.4,19.0,22.7,25.2,18.6,0.0,0.0,0,20.3,50.8,12.43,3,overcast,46,143.9,37,11,Büyük Ev Ablukada,93.7,FIRTINAYT,Büyük Ev Ablukada,#1E3A6B,0.325,27,0,22,0,0,#DC2C99,743,376,119,42,206,mock
2025-08-27,Wednesday,4709,Şeyma’s iPhone,26.9,20.1,23.3,25.5,19.7,0.0,0.0,0,24.6,59.0,12.11,3,overcast,114,231.0,64,32,The Neighbourhood,53.4,I Love You.,The Neighbourhood,#A6121A,0.507,37,6,18,0,0,#DC2C5B,666,292,141,68,165,mock
2025-08-28,Thursday,7992,Şeyma’s iPhone,27.4,20.7,23.7,26.5,20.5,0.0,0.0,0,24.9,59.8,12.28,3,overcast,74,199.7,53,32,Radiohead,13.7,Random Access Memories,Daft Punk,#D4A24C,0.466,31,21,22,0,0,#DC8D2C,625,338,108,33,146,mock
2025-08-29,Friday,18386,Şeyma’s iPhone,29.5,21.4,24.8,30.4,22.6,0.0,0.0,0,18.9,46.1,12.04,2,partly_cloudy,18,19.0,7,6,Daft Punk,5.8,Random Access Memories,Daft Punk,#D4A24C,0.75,2,2,1,0,0,#DC8D2C,719,374,145,61,139,mock
2025-08-30,Saturday,20851,Şeyma’s iPhone,29.2,19.8,24.2,31.8,23.2,0.0,0.0,0,10.6,32.4,12.08,3,overcast,4,11.4,3,2,Franz Ferdinand,7.6,Franz Ferdinand,Franz Ferdinand,#E89A2A,0.75,1,4,0,0,0,#AA2CDC,506,263,100,28,115,mock
2025-08-31,Sunday,8249,Şeyma’s iPhone,33.5,20.3,26.8,33.1,21.9,0.0,0.0,0,12.5,31.3,12.06,1,mostly_clear,11,16.9,7,4,The Marías,7.8,Comedown Machine,The Strokes,#D6312C,0.714,2,0,0,0,0,#43DC2C,633,298,103,77,155,mock
2025-09-01,Monday,10071,Şeyma’s iPhone,30.4,21.3,25.9,31.8,24.5,0.0,0.0,0,11.5,32.0,12.08,1,mostly_clear,49,106.7,35,22,The Marías,25.0,Teen Dream,Beach House,#F4E7B5,0.425,23,14,0,0,0,#672CDC,801,402,125,61,213,mock
2025-09-02,Tuesday,7472,Şeyma’s iPhone,30.9,20.3,25.4,31.9,21.5,0.0,0.0,0,15.0,39.6,12.0,0,clear,122,286.5,76,36,Franz Ferdinand,34.8,Ten,Pearl Jam,#A87838,0.444,45,0,37,0,0,#992CDC,764,428,144,62,130,mock
2025-09-03,Wednesday,7086,Şeyma’s iPhone,30.6,20.5,24.9,30.7,23.3,0.0,0.0,0,19.0,47.5,12.02,3,overcast,140,252.9,59,33,Franz Ferdinand,22.2,Comedown Machine,The Strokes,#D6312C,0.562,32,8,5,0,0,#43DC2C,725,402,135,63,125,mock
2025-09-04,Thursday,7118,Şeyma’s iPhone,28.9,22.0,25.0,29.0,23.4,0.0,0.0,0,25.3,61.2,12.0,3,overcast,137,283.1,67,41,The Marías,23.3,No One Noticed (Extended),The Marías,#3F6E84,0.408,45,15,37,0,0,#752CDC,800,404,116,53,227,mock
2025-09-05,Friday,4832,Şeyma’s iPhone,28.3,23.0,24.9,28.3,23.6,0.0,0.0,0,25.2,60.8,12.0,3,overcast,66,183.8,44,22,Daft Punk,55.1,Discovery,Daft Punk,#C9CCD1,0.373,32,13,10,0,0,#2C9FDC,479,232,92,45,110,mock
2025-09-06,Saturday,2437,Şeyma’s iPhone,23.1,19.3,21.3,24.7,20.9,12.2,12.2,0,18.2,40.3,0.41,61,rain_light,62,192.7,49,25,Bad Bunny,47.2,The Queen Is Dead,The Smiths,#2C3F33,0.151,45,30,0,0,0,#2CDCC2,434,215,78,20,121,mock
2025-09-07,Sunday,4027,Şeyma’s iPhone,24.4,19.1,21.4,23.6,20.3,0.4,0.4,0,20.4,50.0,8.78,51,drizzle_light,52,166.5,45,25,Radiohead,33.6,OK Computer,Radiohead,#9FB7C8,0.457,25,8,0,0,0,#2C4CDC,519,295,76,38,110,mock
2025-09-08,Monday,6651,Şeyma’s iPhone,25.0,18.2,21.2,25.1,19.6,0.5,0.5,0,17.1,40.0,12.0,51,drizzle_light,95,256.2,73,40,Kanye West,36.1,La La Land,Justin Hurwitz,#3FA8A7,0.219,57,19,32,0,0,#96DC2C,595,338,87,39,131,mock
2025-09-09,Tuesday,11224,Şeyma’s iPhone,26.0,18.0,21.7,28.5,19.9,0.3,0.3,0,11.1,29.9,12.0,51,drizzle_light,48,94.6,27,11,Franz Ferdinand,30.8,"Girl, so confusing featuring lorde",Charli xcx,#E6E81F,0.278,26,0,21,0,0,#49DC2C,639,305,162,51,121,mock
2025-09-10,Wednesday,9519,Şeyma’s iPhone,27.5,17.1,22.1,29.9,18.6,0.0,0.0,0,14.3,33.5,12.0,2,partly_cloudy,1,0.0,0,0,,0,,,,0.0,0,0,0,0,0,,805,469,148,62,126,mock
2025-09-11,Thursday,6561,Şeyma’s iPhone,26.8,19.6,22.6,29.0,21.4,0.0,0.0,0,12.5,30.6,11.45,3,overcast,47,128.3,33,11,Franz Ferdinand,87.7,You Could Have It So Much Better,Franz Ferdinand,#EF9107,0.342,25,0,8,0,0,#2CDCA4,569,283,110,43,133,mock
2025-09-12,Friday,8166,Şeyma’s iPhone,26.3,19.9,22.5,27.9,21.5,0.6,0.6,0,17.8,42.1,11.84,51,drizzle_light,23,79.3,22,5,Bad Bunny,39.4,Franz Ferdinand,Franz Ferdinand,#E89A2A,0.13,20,1,0,0,0,#AA2CDC,434,220,88,58,68,mock
2025-09-13,Saturday,16055,Şeyma’s iPhone,25.5,20.2,22.5,25.3,21.1,0.0,0.0,0,21.2,52.9,12.0,2,partly_cloudy,55,74.9,23,10,Franz Ferdinand,31.9,Franz Ferdinand,Franz Ferdinand,#E89A2A,0.296,19,0,2,0,0,#AA2CDC,436,213,66,39,118,mock
2025-09-14,Sunday,12176,Şeyma’s iPhone,24.8,19.5,21.5,23.8,18.9,0.0,0.0,0,22.7,53.3,12.0,2,partly_cloudy,11,11.0,4,2,sombr,6.7,Franz Ferdinand,Franz Ferdinand,#E89A2A,0.25,3,0,0,0,0,#AA2CDC,560,321,128,43,68,mock
2025-09-15,Monday,2957,Şeyma’s iPhone,24.9,18.6,21.2,23.8,18.9,0.0,0.0,0,17.3,42.5,12.0,1,mostly_clear,112,336.7,85,54,Snowy White,29.9,The Joshua Tree,U2,#0A0A0A,0.364,56,0,32,0,0,#2CDCD0,487,230,79,41,137,mock
2025-09-16,Tuesday,6780,Şeyma’s iPhone,26.8,16.2,21.4,27.1,17.1,0.0,0.0,0,14.6,37.4,12.0,0,clear,150,429.3,100,47,Radiohead,48.2,Grace,Jeff Buckley,#8A2F4E,0.448,64,6,44,0,0,#70DC2C,656,349,118,43,146,mock
2025-09-17,Wednesday,5945,Şeyma’s iPhone,27.9,17.0,21.5,28.6,16.4,0.1,0.1,0,19.6,42.1,9.54,51,drizzle_light,77,191.1,52,35,Radiohead,28.8,OK Computer,Radiohead,#9FB7C8,0.444,30,17,20,0,0,#2C4CDC,610,350,107,36,117,mock
2025-09-18,Thursday,3753,Şeyma’s iPhone,22.0,17.0,19.3,19.4,16.0,2.7,2.7,0,20.9,50.8,12.0,55,drizzle_dense,46,108.2,24,13,Lorde,38.0,Melodrama,Lorde,#2B4FB8,0.273,24,0,29,0,0,#DC2CA4,605,342,85,35,143,mock
2025-09-19,Friday,1665,Şeyma’s iPhone,23.2,17.5,20.3,20.3,16.3,0.0,0.0,0,20.6,48.2,12.0,3,overcast,55,172.3,44,28,Radiohead,33.9,OK Computer,Radiohead,#9FB7C8,0.438,27,1,0,0,0,#2C4CDC,549,308,104,59,78,mock
2025-09-20,Saturday,4055,Şeyma’s iPhone,23.8,15.2,19.7,21.9,14.9,0.0,0.0,0,19.8,46.1,12.0,3,overcast,62,109.6,33,19,Charli xcx,16.5,OK Computer,Radiohead,#9FB7C8,0.297,26,0,0,0,0,#2C4CDC,678,355,121,57,145,mock
2025-09-21,Sunday,14686,Şeyma’s iPhone,24.8,17.0,20.8,23.1,17.2,0.0,0.0,0,21.7,52.2,11.97,3,overcast,186,336.5,98,53,Billie Eilish,19.1,The New Abnormal,The Strokes,#E94B8C,0.292,75,8,16,0,0,#DC2C9C,638,262,89,39,248,mock
2025-09-22,Monday,8961,Şeyma’s iPhone,26.4,18.8,21.9,27.3,18.8,0.0,0.0,0,18.1,44.3,11.94,0,clear,96,227.3,57,25,Daft Punk,83.3,Random Access Memories,Daft Punk,#D4A24C,0.417,35,0,39,0,0,#DC8D2C,814,323,134,83,274,mock
2025-09-23,Tuesday,5247,Şeyma’s iPhone,26.8,16.5,21.2,28.9,17.6,0.0,0.0,0,14.4,36.0,11.92,0,clear,42,92.5,24,7,Daft Punk,39.9,Random Access Memories,Daft Punk,#D4A24C,0.25,18,0,15,0,0,#DC8D2C,683,384,113,62,124,mock
2025-09-24,Wednesday,2196,Şeyma’s iPhone,25.9,15.3,20.5,27.1,16.6,0.0,0.0,0,14.9,38.5,11.83,2,partly_cloudy,86,247.8,67,27,PJ Harvey,73.0,"Stories From The City, Stories From The Sea",PJ Harvey,#C44A22,0.423,41,13,7,0,0,#8D2CDC,665,351,125,39,150,mock
2025-09-25,Thursday,5389,Şeyma’s iPhone,23.8,17.6,20.3,22.6,18.5,0.1,0.1,0,22.3,50.4,8.57,51,drizzle_light,131,306.2,84,33,PJ Harvey,73.7,"Stories From The City, Stories From The Sea",PJ Harvey,#C44A22,0.433,55,0,19,0,0,#8D2CDC,578,323,110,43,102,mock
2025-09-26,Friday,488,Şeyma’s iPhone,22.0,17.9,19.5,19.8,15.7,1.7,1.7,0,28.6,67.3,10.87,51,drizzle_light,23,94.2,23,14,PJ Harvey,21.3,"Stories From The City, Stories From The Sea",PJ Harvey,#C44A22,0.565,10,0,0,0,0,#8D2CDC,567,281,96,47,143,mock
