date,weekday,steps,primary_source,all_sources
2025-08-26,Tuesday,514,Şeymanur’s iPhone,Şeymanur’s iPhone
2025-08-27,Wednesday,4709,Şeyma’s iPhone,Şeyma’s iPhone
2025-08-28,Thursday,7992,Şeyma’s iPhone,Şeyma’s iPhone
2025-08-29,Friday,18386,Şeyma’s iPhone,Şeyma’s iPhone
2025-08-30,Saturday,20851,Şeyma’s iPhone,Şeyma’s iPhone
2025-08-31,Sunday,8249,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-01,Monday,10071,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-02,Tuesday,7472,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-03,Wednesday,7086,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-04,Thursday,7118,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-05,Friday,4832,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-06,Saturday,2437,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-07,Sunday,4027,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-08,Monday,6651,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-09,Tuesday,11224,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-10,Wednesday,9519,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-11,Thursday,6561,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-12,Friday,8166,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-13,Saturday,16055,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-14,Sunday,12176,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-15,Monday,2957,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-16,Tuesday,6780,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-17,Wednesday,5945,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-18,Thursday,3753,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-19,Friday,1665,Şeyma’s iPhone,Şeyma’s iPhone
2025-09-20,Saturday,4055,Şeyma’s iPhone,Şeyma’s iPhone
